x0000,y0000
25400000.,0.2392782664
25401000.,0.2446712428
25402000.,0.2458598726
25403000.,0.2421516596
25404000.,0.2475417230
25405000.,0.2472072072
25406000.,0.2462605875
25407000.,0.2467019654
25408000.,0.2475593372
25409000.,0.2523852385
25410000.,0.2498213009
25411000.,0.250608931
25412000.,0.2508099352
25413000.,0.2459193796
25414000.,0.2495482472
25415000.,0.2463192124
25416000.,0.2439485288
25417000.,0.2430074647
25418000.,0.2462613056
25419000.,0.2410449771
25420000.,0.2485116363
25421000.,0.2374632582
25422000.,0.2442920314
25423000.,0.2403191108
25424000.,0.2288890931
25425000.,0.2320422220
25426000.,0.2286179745
25427000.,0.2329006720
25428000.,0.2198225647
25429000.,0.2326942119
25430000.,0.2269445948
25431000.,0.2139976700
25432000.,0.2143431276
25433000.,0.2181114412
25434000.,0.2151593608
25435000.,0.2104790150
25436000.,0.2096253809
25437000.,0.2109234639
25438000.,0.2119467434
25439000.,0.1999459362
25440000.,0.2008281573
25441000.,0.2019929976
25442000.,0.197483491
25443000.,0.1990619645
25444000.,0.1989561774
25445000.,0.1961833423
25446000.,0.2010272121
25447000.,0.1996605324
25448000.,0.2005583573
25449000.,0.2028034864
25450000.,0.1984883930
25451000.,0.1995517705
25452000.,0.1972868565
25453000.,0.2020111331
25454000.,0.2015566291
25455000.,0.1999640998
25456000.,0.2026185102
25457000.,0.2081354717
25458000.,0.2051055560
25459000.,0.2076236821
25460000.,0.2127128466
25461000.,0.206788465
25462000.,0.2150633589
25463000.,0.2175009003
25464000.,0.2235378543
25465000.,0.2182308038
25466000.,0.2189662921
25467000.,0.2270444763
25468000.,0.223028024
25469000.,0.2309204647
25470000.,0.2300869098
25471000.,0.2414007644
25472000.,0.2366597678
25473000.,0.2383684446
25474000.,0.244190236
25475000.,0.2458898572
25476000.,0.2434971098
25477000.,0.2381981982
25478000.,0.2465974212
25479000.,0.2425332854
25480000.,0.2420939789
25481000.,0.2487835646
25482000.,0.2503786866
25483000.,0.2508319093
25484000.,0.2504030091
25485000.,0.252513465
25486000.,0.2560637251
25487000.,0.2520993228
25488000.,0.2547822182
25489000.,0.2490047050
25490000.,0.2444085152
25491000.,0.2484488805
25492000.,0.2415060511
25493000.,0.2490875100
25494000.,0.2481243301
25495000.,0.2369121562
25496000.,0.2435908888
25497000.,0.2411979677
25498000.,0.2418571171
25499000.,0.2350579839
25500000.,0.2384843315
25501000.,0.2341188066
25502000.,0.2253000090
25503000.,0.2215980025
25504000.,0.2272645254
25505000.,0.2238364272
25506000.,0.2152486385
25507000.,0.2194337769
25508000.,0.2171744165
25509000.,0.2180255974
25510000.,0.2139534884
25511000.,0.2105263158
25512000.,0.2103330946
25513000.,0.2034203420
25514000.,0.2060562623
25515000.,0.204123897
25516000.,0.2051602535
25517000.,0.1988802986
25518000.,0.2018061516
25519000.,0.2003024104
25520000.,0.2030758162
25521000.,0.2036328021
