x0000,y0000
25450000.,0.2627126821
25450500.,0.2633107454
25451000.,0.2586501014
25451500.,0.2615994329
25452000.,0.2613284276
25452500.,0.2593388271
25453000.,0.2593639346
25453500.,0.2583937857
25454000.,0.2595471552
25454500.,0.2628140540
25455000.,0.2600455376
25455500.,0.2627115912
25456000.,0.2647351685
25456500.,0.2722207656
25457000.,0.2644012005
25457500.,0.2714075119
25458000.,0.273935999
25458500.,0.2710024512
25459000.,0.2765957447
25459500.,0.2800540732
25460000.,0.2897006104
25460500.,0.2815696905
25461000.,0.2891433747
25461500.,0.2883916991
25462000.,0.3039357896
25462500.,0.2905080257
25463000.,0.3015806452
25463500.,0.3142073859
25464000.,0.3028302798
25464500.,0.3124699394
25465000.,0.3151005743
25465500.,0.3255530228
25466000.,0.3143304770
25466500.,0.3263184827
25467000.,0.3234801109
25467500.,0.3338100232
25468000.,0.3273147851
25468500.,0.3338156329
25469000.,0.3398594698
25469500.,0.3326700899
25470000.,0.339888635
25470500.,0.3387610619
25471000.,0.3413035094
25471500.,0.3371002337
25472000.,0.3395618557
25472500.,0.3385689916
25473000.,0.3360064412
25473500.,0.3339443640
25474000.,0.3316247582
25474500.,0.3256128161
25475000.,0.3347228955
25475500.,0.325558889
25476000.,0.3293579165
25476500.,0.3204286542
25477000.,0.3278375845
25477500.,0.3213027885
25478000.,0.3113631224
25478500.,0.3198498479
25479000.,0.3087417561
25479500.,0.3085182302
25480000.,0.2985403114
25480500.,0.3074307916
25481000.,0.2983766234
25481500.,0.2946967496
25482000.,0.2873067825
25482500.,0.2863411958
25483000.,0.2854689778
25483500.,0.2775629569
25484000.,0.2880313380
25484500.,0.2752171658
25485000.,0.2739978647
25485500.,0.2666366473
25486000.,0.2786743238
25486500.,0.266803489
25487000.,0.2696430296
25487500.,0.2678013087
25488000.,0.2616786448
25488500.,0.2597281278
25489000.,0.2569558629
25489500.,0.2607001385
25490000.,0.2563098067
25490500.,0.2570476679
25491000.,0.2586173757
25491500.,0.257927847
25492000.,0.2576636023
25492500.,0.2622420203
25493000.,0.2583333333
25493500.,0.262583248
25494000.,0.2633595158
25494500.,0.2705817959
25495000.,0.2640654825
25495500.,0.2699220511
25496000.,0.2698678698
25496500.,0.2717996588
25497000.,0.2801350048
25497500.,0.2796121509
25498000.,0.2898755293
25498500.,0.2798903516
25499000.,0.2883457201
25499500.,0.2885454079
25500000.,0.3015597363
25500500.,0.2893516297
25501000.,0.2984979022
25501500.,0.2977554995
25502000.,0.3013943968
25502500.,0.3133248326
25503000.,0.3104385937
25503500.,0.3256850078
25504000.,0.3138130001
25504500.,0.326015717
25505000.,0.3242120069
25505500.,0.3302037427
25506000.,0.3245784592
25506500.,0.3347344287
25507000.,0.3380277192
25507500.,0.3338550484
25508000.,0.3407657514
25508500.,0.3406168852
25509000.,0.3446831466
25509500.,0.3405027044
25510000.,0.3419700692
25510500.,0.3447017766
25511000.,0.3438880941
25511500.,0.3418702180
25512000.,0.3403229925
25512500.,0.3349089748
25513000.,0.3399439740
25513500.,0.3356301400
25514000.,0.3391000097
25514500.,0.325492446
25515000.,0.3342208698
25515500.,0.3245291395
25516000.,0.3261874604
25516500.,0.3314393939
25517000.,0.3166576785
25517500.,0.3187464531
25518000.,0.305541498
25518500.,0.3155207408
25519000.,0.3060651501
25519500.,0.3049557297
25520000.,0.2919549759
25520500.,0.3054700149
25521000.,0.2948539638
25521500.,0.2813877525
25522000.,0.2924093668
25522500.,0.2802763779
25523000.,0.2802584259
25523500.,0.2681410904
25524000.,0.2798181182
25524500.,0.2707572050
25525000.,0.2711713714
25525500.,0.2694777465
25526000.,0.2629927747
25526500.,0.2617814357
25527000.,0.2598165254
25527500.,0.2616949797
25528000.,0.2593317754
25528500.,0.2582933113
25529000.,0.2580224691
25529500.,0.2592440167
25530000.,0.2558613011
25530500.,0.2624885895
25531000.,0.2590157717
25531500.,0.261889724
25532000.,0.2610199613
25532500.,0.2667068413
25533000.,0.2615180013
25533500.,0.2662806605
25534000.,0.2673289323
25534500.,0.2764850549
25535000.,0.2706518663
25535500.,0.2788843376
25536000.,0.2909664197
25536500.,0.2776614643
25537000.,0.2881607634
25537500.,0.2864649682
25538000.,0.3003416208
25538500.,0.2906121154
25539000.,0.2989493792
25539500.,0.2986809747
25540000.,0.3000318269
25540500.,0.3138395980
25541000.,0.3128969457
25541500.,0.3277614208
25542000.,0.3144746043
25542500.,0.3252928142
25543000.,0.3236684326
25543500.,0.3323926692
25544000.,0.3236549957
25544500.,0.3359200025
25545000.,0.341153069
25545500.,0.3368377849
25546000.,0.3372321542
25546500.,0.3360582734
25547000.,0.3416229951
25547500.,0.3390002537
25548000.,0.3380559712
25548500.,0.3367967562
25549000.,0.3370847242
25549500.,0.3382278159
25550000.,0.3372285025
25450000.,0.2618082816
25450500.,0.26050447
25451000.,0.2562348126
25451500.,0.2604660095
25452000.,0.2587317197
25452500.,0.2582798296
25453000.,0.2588037656
25453500.,0.2587058336
25454000.,0.2589778352
25454500.,0.2650575801
25455000.,0.2589748452
25455500.,0.2622094128
25456000.,0.2632833355
25456500.,0.2688336520
25457000.,0.2637247759
25457500.,0.2676997486
25458000.,0.2700384408
25458500.,0.2681090050
25459000.,0.2789290241
25459500.,0.2757739369
25460000.,0.2931719251
25460500.,0.2824846287
25461000.,0.2935120066
25461500.,0.2923417722
25462000.,0.3004460190
25462500.,0.2915884878
25463000.,0.3028276168
25463500.,0.3156091371
25464000.,0.3054712207
25464500.,0.3130283362
25465000.,0.3156134539
25465500.,0.3245357415
25466000.,0.3118465228
25466500.,0.3216957606
25467000.,0.3252222890
25467500.,0.3330350294
25468000.,0.3232924021
25468500.,0.3316811103
25469000.,0.3391487059
25469500.,0.3337158156
25470000.,0.3368350683
25470500.,0.3389345045
25471000.,0.3399313719
25471500.,0.3401665395
25472000.,0.3408837135
25472500.,0.3393962601
25473000.,0.3420215136
25473500.,0.3399974451
25474000.,0.3362371562
25474500.,0.3314658898
25475000.,0.3360434475
25475500.,0.3278478170
25476000.,0.3260305096
25476500.,0.3200012860
25477000.,0.3285572648
25477500.,0.3184312719
25478000.,0.3117411522
25478500.,0.3188517237
25479000.,0.3128869783
25479500.,0.3093426269
25480000.,0.2990994443
25480500.,0.3112872806
25481000.,0.300163866
25481500.,0.3000668726
25482000.,0.2878285277
25482500.,0.2887901902
25483000.,0.2916134797
25483500.,0.2787285279
25484000.,0.2875972481
25484500.,0.2775610692
25485000.,0.276440765
25485500.,0.2681638045
25486000.,0.2736188822
25486500.,0.2664506401
25487000.,0.2649269378
25487500.,0.2676006668
25488000.,0.2583730527
25488500.,0.2596302003
25489000.,0.2565696706
25489500.,0.2599017795
25490000.,0.2559084077
25490500.,0.2569644725
25491000.,0.2569518803
25491500.,0.2579701943
25492000.,0.2569309109
25492500.,0.2585653625
25493000.,0.2548290031
25493500.,0.2600259151
25494000.,0.2592639354
25494500.,0.2645259444
25495000.,0.2588253968
25495500.,0.265628578
25496000.,0.2662166129
25496500.,0.269347472
25497000.,0.2794328501
25497500.,0.2768573814
25498000.,0.2880417387
25498500.,0.2756303072
25499000.,0.2853102806
25499500.,0.2872965424
25500000.,0.2955453842
25500500.,0.2846684591
25501000.,0.2991166419
25501500.,0.2998509011
25502000.,0.2999194198
25502500.,0.3122324848
25503000.,0.3106649048
25503500.,0.3197128481
25504000.,0.3127350373
25504500.,0.3196401127
25505000.,0.3209979477
25505500.,0.3283140283
25506000.,0.3203573502
25506500.,0.3282211554
25507000.,0.3344590248
25507500.,0.3298762560
25508000.,0.331610903
25508500.,0.3332044591
25509000.,0.3344602209
25509500.,0.3317927669
25510000.,0.3338929967
25510500.,0.3349577648
25511000.,0.3363665803
25511500.,0.3336133911
25512000.,0.3364866598
25512500.,0.331522438
25513000.,0.3349725008
25513500.,0.333043786
25514000.,0.3288343165
25514500.,0.3225268023
25515000.,0.3320775374
25515500.,0.3215659652
25516000.,0.3250605914
25516500.,0.3243825572
25517000.,0.3123729634
25517500.,0.3134415019
25518000.,0.3056396060
25518500.,0.3125950370
25519000.,0.3045340375
25519500.,0.3025112685
25520000.,0.2886647920
25520500.,0.3037371134
25521000.,0.2912671343
25521500.,0.2791951478
25522000.,0.2918617328
25522500.,0.2808823058
25523000.,0.2809757979
25523500.,0.2675128379
25524000.,0.2781625487
25524500.,0.2642605804
25525000.,0.2705457360
25525500.,0.2671772995
25526000.,0.2607157786
25526500.,0.2604778942
25527000.,0.2567337088
25527500.,0.2598023384
25528000.,0.2553411887
25528500.,0.2571108264
25529000.,0.2556456283
25529500.,0.2557906962
25530000.,0.2576909505
25530500.,0.2597539881
25531000.,0.2583725924
25531500.,0.2595331861
25532000.,0.2582777228
25532500.,0.2663347253
25533000.,0.2605448718
25533500.,0.2644505406
25534000.,0.2640288465
25534500.,0.2746528671
25535000.,0.2656803971
25535500.,0.2754354393
25536000.,0.2872493986
25536500.,0.2771459779
25537000.,0.2855673417
25537500.,0.2857647929
25538000.,0.2974930004
25538500.,0.2863097147
25539000.,0.2968218299
25539500.,0.2971325356
25540000.,0.2945240697
25540500.,0.3088917526
25541000.,0.3099861972
25541500.,0.3233727051
25542000.,0.3094560455
25542500.,0.3241912799
25543000.,0.3198110498
25543500.,0.3306034621
25544000.,0.3173424649
