x0000,y0000
25485000.,0.244014733
25485150.,0.2463509645
25485300.,0.2464897096
25485450.,0.2433839479
25485600.,0.249618102
25485750.,0.2457319981
25485900.,0.2485891918
25486050.,0.2471782225
25486200.,0.2487388619
25486350.,0.2541859805
25486500.,0.2498342332
25486650.,0.2603453129
25486800.,0.2550070522
25486950.,0.2627047263
25487100.,0.2592332538
25487250.,0.2661362459
25487400.,0.2662290299
25487550.,0.2717064462
25487700.,0.2727016753
25487850.,0.2735654779
25488000.,0.2882895472
25488150.,0.2806377079
25488300.,0.2852288815
25488450.,0.2898544068
25488600.,0.2942038275
25488750.,0.2955100507
25488900.,0.2985799359
25489050.,0.3024354447
25489200.,0.3031536114
25489350.,0.3076356607
25489500.,0.3104579694
25489650.,0.3149888351
25489800.,0.3150190025
25489950.,0.3135112120
25490100.,0.3263019117
25490250.,0.3211536678
25490400.,0.3186575921
25490550.,0.3266173246
25490700.,0.3267970753
25490850.,0.3260426321
25491000.,0.3264611223
25491150.,0.3240616467
25491300.,0.3295750628
25491450.,0.3239527887
25491600.,0.3258299976
25491750.,0.3233865371
25491900.,0.3263085082
25492050.,0.3199003104
25492200.,0.3198661135
25492350.,0.3209534107
25492500.,0.3188710267
25492650.,0.3147069872
25492800.,0.3197810424
25492950.,0.3156633300
25493100.,0.3087889338
25493250.,0.3012808783
25493400.,0.3026179976
25493550.,0.3026937727
25493700.,0.3033855388
25493850.,0.2986732924
25494000.,0.2939746646
25494150.,0.2964184731
25494300.,0.2857818784
25494450.,0.2889182058
25494600.,0.2762693520
25494750.,0.2812046274
25494900.,0.2731312940
25495050.,0.269131516
25495200.,0.2666949632
25495350.,0.2645370719
25495500.,0.2675258462
25495650.,0.2607549656
25495800.,0.2613025387
25495950.,0.2574169396
25496100.,0.2574110213
25496250.,0.2539867574
25496400.,0.2521787502
25496550.,0.2522169327
25496700.,0.2494056221
25496850.,0.2470472900
25497000.,0.2455901670
25497150.,0.2460652769
25497300.,0.2458176057
25497450.,0.2440298507
25497600.,0.2470741829
25497750.,0.245210728
25497900.,0.2458327497
25498050.,0.2454997907
25498200.,0.2514573520
25498350.,0.2512271516
25498500.,0.2512308407
25498650.,0.2535000933
25498800.,0.2583084391
25498950.,0.2579865148
25499100.,0.264359318
25499250.,0.2625191798
25499400.,0.2689476365
25499550.,0.2654933184
25499700.,0.2688427024
25499850.,0.2750185667
25500000.,0.28049287
25500150.,0.2824234047
25500300.,0.2853450265
25500450.,0.2859841504
25500600.,0.2947907535
25500750.,0.2904048602
25500900.,0.2960800667
25501050.,0.2983169965
25501200.,0.2973234441
25501350.,0.307834442
25501500.,0.3067504505
25501650.,0.3084895665
25501800.,0.3133789785
25501950.,0.3125982795
25502100.,0.3184342032
25502250.,0.3151682803
25502400.,0.3176786624
25502550.,0.3206258365
25502700.,0.324307046
25502850.,0.3250093353
25503000.,0.3251485332
25503150.,0.3302501010
25503300.,0.3284119553
25503450.,0.3305414705
25503600.,0.3312384139
25503750.,0.3267864416
25503900.,0.3283730159
25504050.,0.3257134876
25504200.,0.3269291623
25504350.,0.3238741797
25504500.,0.3246665159
25504650.,0.3234249818
25504800.,0.3139429195
25504950.,0.3088565794
25505100.,0.3159365836
25505250.,0.3100956040
25505400.,0.3054884844
25505550.,0.3061024082
25505700.,0.3001048839
25505850.,0.2960437199
25506000.,0.2978742941
25506150.,0.2986239567
25506300.,0.2859993503
25506450.,0.2850212805
25506600.,0.2823773324
25506750.,0.2789542729
25506900.,0.2739649123
25507050.,0.2715902867
25507200.,0.2728420462
25507350.,0.2635159985
25507500.,0.2634197079
25507650.,0.263990878
25507800.,0.2651880863
25507950.,0.255907125
25508100.,0.2586730468
25508250.,0.2554166094
25508400.,0.2529955807
25508550.,0.2503974924
25508700.,0.2490142137
25508850.,0.2462064252
25509000.,0.2490020647
25509150.,0.2473266327
25509300.,0.2469453376
25509450.,0.2472149262
25509600.,0.2455949137
25509750.,0.2471752731
25509900.,0.2537229559
25510050.,0.2469152604
25510200.,0.2499313627
25510350.,0.2513899185
25510500.,0.2538408935
25510650.,0.2514853281
25510800.,0.2552183498
25510950.,0.2563373719
25511100.,0.2575750693
25511250.,0.2697613721
25511400.,0.2659162375
25511550.,0.2671819706
25511700.,0.2742122604
25511850.,0.2726808905
25512000.,0.2721588316
25512150.,0.2816471553
25512300.,0.2801423356
25512450.,0.2860711204
25512600.,0.2863023952
25512750.,0.2951256489
25512900.,0.2940124702
25513050.,0.2942258183
25513200.,0.2952219989
25513350.,0.3049364146
25513500.,0.3081022956
25513650.,0.3156859156
25513800.,0.3117619712
25513950.,0.3204070407
25514100.,0.3154519218
25514250.,0.3213831334
25514400.,0.3214702178
25514550.,0.3247219069
25514700.,0.3252990048
25514850.,0.3247282609
25515000.,0.3323862313
25485000.,0.2472113902
25485150.,0.2457251425
25485300.,0.2473509779
25485450.,0.2492167991
25485600.,0.2496501539
25485750.,0.2449635565
25485900.,0.2473446753
25486050.,0.2463202445
25486200.,0.251573772
25486350.,0.2509626274
25486500.,0.2539273154
25486650.,0.2543093270
25486800.,0.2546525324
25486950.,0.253054897
25487100.,0.2622578047
25487250.,0.2655124654
25487400.,0.2690432383
25487550.,0.2614513404
25487700.,0.2762045549
25487850.,0.2753997143
25488000.,0.2728856292
25488150.,0.282818577
25488300.,0.2826046425
25488450.,0.2866638382
25488600.,0.2902292143
25488750.,0.2942783141
25488900.,0.3013877247
25489050.,0.2982211695
25489200.,0.3029570392
25489350.,0.3062790698
25489500.,0.3063375399
25489650.,0.3092248529
25489800.,0.3085637033
25489950.,0.3137410643
25490100.,0.3175965665
25490250.,0.3159391440
25490400.,0.3208056189
25490550.,0.3218078885
25490700.,0.3196467379
25490850.,0.3226876815
25491000.,0.3216831456
25491150.,0.3213387135
25491300.,0.3221199023
25491450.,0.3263681134
25491600.,0.3266625469
25491750.,0.3200207469
25491900.,0.3209392422
25492050.,0.3187730627
25492200.,0.3211186569
25492350.,0.3195051973
25492500.,0.3167696051
25492650.,0.3141952361
25492800.,0.3084297521
25492950.,0.3112873531
25493100.,0.3114769476
25493250.,0.3157352804
25493400.,0.2999859491
25493550.,0.3030992984
25493700.,0.300305236
25493850.,0.2873353027
25494000.,0.2923256902
25494150.,0.2869659428
25494300.,0.2913230885
25494450.,0.2822172865
25494600.,0.2757002834
25494750.,0.2743882236
25494900.,0.2745015642
25495050.,0.2725562141
25495200.,0.2655457449
25495350.,0.2658251785
25495500.,0.2685372628
25495650.,0.2536486930
25495800.,0.2592296477
25495950.,0.2549315004
25496100.,0.2516599953
25496250.,0.249070632
25496400.,0.251553965
25496550.,0.2480378251
25496700.,0.2429127032
25496850.,0.2442096325
25497000.,0.2439462732
25497150.,0.2438402719
25497300.,0.2419408284
25497450.,0.2445982206
25497600.,0.2441580513
25497750.,0.2449601500
25497900.,0.247463067
25498050.,0.2438322562
25498200.,0.2465276143
25498350.,0.2473996675
25498500.,0.2485934471
25498650.,0.2507974292
25498800.,0.2510113839
25498950.,0.25083167
25499100.,0.2564102564
25499250.,0.2579617834
25499400.,0.2592204826
25499550.,0.2687999244
25499700.,0.2700123445
25499850.,0.2717832531
25500000.,0.2702587432
25500150.,0.2751763648
25500300.,0.2817308148
25500450.,0.2815228281
25500600.,0.2869721644
25500750.,0.2865740077
25500900.,0.2896133434
25501050.,0.2862494073
25501200.,0.2967409949
25501350.,0.3002284191
25501500.,0.2993968983
25501650.,0.3079334917
25501800.,0.3078509424
25501950.,0.3050367855
25502100.,0.3116734849
25502250.,0.3113337448
25502400.,0.3137878644
25502550.,0.3160343422
25502700.,0.3162291169
25502850.,0.3190178321
25503000.,0.3124095767
25503150.,0.311063151
25503300.,0.3174519231
25503450.,0.3175841641
25503600.,0.3172834722
25503750.,0.3210804128
25503900.,0.3174972154
25504050.,0.3118001723
25504200.,0.3180546174
25504350.,0.3154019323
25504500.,0.3145558021
25504650.,0.3063045587
25504800.,0.3102288022
25504950.,0.3064813915
25505100.,0.3006507592
25505250.,0.303884415
25505400.,0.2954567565
25505550.,0.2920572036
25505700.,0.2922560197
25505850.,0.2930635838
25506000.,0.2867753448
25506150.,0.2808883475
25506300.,0.2834812814
25506450.,0.2765294562
25506600.,0.2754255574
25506750.,0.2707890157
25506900.,0.2721805947
25507050.,0.2667305389
25507200.,0.2653500383
25507350.,0.2615456674
25507500.,0.2602555481
25507650.,0.2583457062
25507800.,0.2546207026
25507950.,0.2524378585
25508100.,0.2535290268
25508250.,0.2463640981
25508400.,0.2509345346
25508550.,0.2431635516
25508700.,0.2459677419
25508850.,0.2435412287
25509000.,0.244474213
25509150.,0.2445512671
25509300.,0.2457970186
25509450.,0.2444948493
25509600.,0.2411825726
25509750.,0.2452364314
25509900.,0.241997077
25510050.,0.2488770354
25510200.,0.2450989677
25510350.,0.245754386
25510500.,0.2481281395
25510650.,0.2493446920
25510800.,0.2549204701
25510950.,0.2534464972
25511100.,0.2573449143
25511250.,0.2614762775
25511400.,0.265484194
25511550.,0.2648745183
25511700.,0.2645650253
25511850.,0.2709443213
25512000.,0.2712126176
25512150.,0.2807587070
25512300.,0.2766951727
25512450.,0.2835367279
25512600.,0.2862498828
25512750.,0.2877821736
25512900.,0.2910530703
25513050.,0.2942096285
25513200.,0.2931391973
25513350.,0.3007288427
25513500.,0.2981780616
25513650.,0.3105447184
25513800.,0.3047190599
25513950.,0.3129541352
25514100.,0.3059539536
25514250.,0.3127728489
25514400.,0.3127783645
25514550.,0.3265524625
25514700.,0.3123796101
25514850.,0.3150115473
25515000.,0.3208469055
25485000.,0.243595715
25485150.,0.2429475840
25485300.,0.2406801831
25485450.,0.2452479435
25485600.,0.2459580004
25485750.,0.2438553774
25485900.,0.2467381715
25486050.,0.2438695268
25486200.,0.2488868275
25486350.,0.2498488161
25486500.,0.2488009313
25486650.,0.2521220035
25486800.,0.2515095216
25486950.,0.2598200056
25487100.,0.2535138681
25487250.,0.2604040592
25487400.,0.2587950235
25487550.,0.2642081216
25487700.,0.2734814398
25487850.,0.2739738763
25488000.,0.2763402829
25488150.,0.2737741456
25488300.,0.2809269988
25488450.,0.2850319948
25488600.,0.2886263609
25488750.,0.2935144124
25488900.,0.2957370408
25489050.,0.3008209267
25489200.,0.2983035305
25489350.,0.3075543703
25489500.,0.3026395138
25489650.,0.3080964011
25489800.,0.3092500591
25489950.,0.3227796053
25490100.,0.3165980288
25490250.,0.3177929268
25490400.,0.322752796
25490550.,0.3187930317
25490700.,0.3220692532
25490850.,0.3186195457
25491000.,0.3235782866
25491150.,0.3231812062
25491300.,0.3209689281
25491450.,0.3264918458
25491600.,0.3198354662
25491750.,0.3261745581
25491900.,0.3191940615
25492050.,0.3242196400
25492200.,0.3232161631
25492350.,0.3195801004
25492500.,0.319239291
25492650.,0.3106109031
25492800.,0.3168217019
25492950.,0.3098145428
25493100.,0.3108784706
25493250.,0.3027687222
25493400.,0.3058475540
25493550.,0.3029982038
25493700.,0.3008174387
25493850.,0.2938306507
25494000.,0.2917523418
25494150.,0.2929696469
25494300.,0.2810753870
25494450.,0.2851122309
25494600.,0.2747920665
25494750.,0.2765456685
25494900.,0.2718477910
25495050.,0.2689414786
25495200.,0.2636096576
25495350.,0.2643619959
25495500.,0.2620023015
25495650.,0.2628352844
25495800.,0.2578178342
25495950.,0.2588610478
